Company,Pizza_Name,Type,Size,Price ($)
Domino's Pizza,Hand Tossed,Cheeses Pizza,S,5.99 
Domino's Pizza,Hand Tossed,Cheeses Pizza,M,7.99 
Domino's Pizza,Hand Tossed,Cheeses Pizza,L,9.99 
Domino's Pizza,Handmade Pan,Cheeses Pizza,M,7.99 
Domino's Pizza,Crunchy Thin Crust,Cheeses Pizza,S,5.99 
Domino's Pizza,Crunchy Thin Crust,Cheeses Pizza,M,7.99 
Domino's Pizza,Crunchy Thin Crust,Cheeses Pizza,L,9.99 
Domino's Pizza,Brooklyn Style,Cheeses Pizza,L,9.99 
Domino's Pizza,Brooklyn Style,Cheeses Pizza,XL,11.99 
Domino's Pizza,Gluten Free Crust,Cheeses Pizza,S,8.99 
Domino's Pizza,Spinach & Feta (Hand Tossed or Thin Crust),Specialty Pizzas,S,11.99 
Domino's Pizza,"Spinach & Feta (Hand Tossed, Handmade Pan or Thin Crust)",Specialty Pizzas,M,13.99 
Domino's Pizza,"Spinach & Feta (Hand Tossed, Thin Crust or Brooklyn Style)",Specialty Pizzas,L,15.99 
Domino's Pizza,Spinach & Feta (Brooklyn Style),Specialty Pizzas,XL,17.99 
Domino's Pizza,Spinach & Feta (Gluten Free Crust),Specialty Pizzas,S,14.99 
Domino's Pizza,Wisconsin 6 Cheese (Hand Tossed or Thin Crust),Specialty Pizzas,S,11.99 
Domino's Pizza,"Wisconsin 6 Cheese (Hand Tossed, Handmade Pan or Thin Crust)",Specialty Pizzas,M,13.99 
Domino's Pizza,"Wisconsin 6 Cheese (Hand Tossed, Thin Crust or Brooklyn Style)",Specialty Pizzas,L,15.99 
Domino's Pizza,Wisconsin 6 Cheese (Brooklyn Style),Specialty Pizzas,XL,17.99 
Domino's Pizza,Wisconsin 6 Cheese (Gluten Free Crust),Specialty Pizzas,S,14.99 
Domino's Pizza,Honolulu Hawaiian (Hand Tossed or Thin Crust),Specialty Pizzas,S,11.99 
Domino's Pizza,"Honolulu Hawaiian (Hand Tossed, Handmade Pan or Thin Crust)",Specialty Pizzas,M,13.99 
Domino's Pizza,"Honolulu Hawaiian (Hand Tossed, Thin Crust or Brooklyn Style)",Specialty Pizzas,L,15.99 
Domino's Pizza,Honolulu Hawaiian (Brooklyn Style),Specialty Pizzas,XL,17.99 
Domino's Pizza,Honolulu Hawaiian (Gluten Free Crust),Specialty Pizzas,S,14.99 
Domino's Pizza,Philly Cheese Steak (Hand Tossed or Thin Crust),Specialty Pizzas,S,11.99 
Domino's Pizza,"Philly Cheese Steak (Hand Tossed, Handmade Pan or Thin Crust)",Specialty Pizzas,M,13.99 
Domino's Pizza,"Philly Cheese Steak (Hand Tossed, Thin Crust or Brooklyn Style)",Specialty Pizzas,L,15.99 
Domino's Pizza,Philly Cheese Steak (Brooklyn Style),Specialty Pizzas,XL,17.99 
Domino's Pizza,Philly Cheese Steak (Gluten Free Crust),Specialty Pizzas,S,14.99 
Domino's Pizza,Pacific Veggie (Hand Tossed or Thin Crust),Specialty Pizzas,S,11.99 
