HINT (string), DECLARATION (string), NUMBER_EXPECTED (bool), DESCRIPTION (skip),
"bool","bool %s;",false,"C/C++ datatype to hold either true or false",
"byte","unsigned char %s;",true,"C/C++ datatype to hold one byte",
"char[4]","char %s[4];",false,"C/C++ datatype to hold 3 characters maximum",
"char[8]","char %s[8];",false,"C/C++ datatype to hold 7 characters maximum",
"char[12]","char %s[12];",false,"C/C++ datatype to hold 11 characters maximum",
"char[16]","char %s[16];",false,"C/C++ datatype to hold 15 characters maximum",
"char[32]","char %s[32];",false,"C/C++ datatype to hold 31 characters maximum",
"char[64]","char %s[64];",false,"C/C++ datatype to hold 63 characters maximum",
"char[128]","char %s[128];",false,"C/C++ datatype to hold 127 characters maximum",
"double","double %s;",true,"C/C++ datatype for floating point values (mostly 64-bit)",
"float","float %s;",true,"C/C++ datatype for floating point values (mostly 32-bit)",
"int","int %s;",true,"C/C++ datatype for integer values (mostly 32-bit)",
"long double","long double %s;",true,"C/C++ datatype for big floating values (mostly 64/128-bit)",
"short","short %s;",true,"C/C++ datatype for short integer values (mostly 16-bit)",
"string","const char* %s;",false,"C/C++ datatype to hold a string",
"std::string","std::string %s;",false,"C++ datatype to hold a string",
"text","const char* %s;",false,"C/C++ datatype to hold a string",
"unsigned int","unsigned int %s;",true,"C/C++ datatype for unsigned integer values (mostly 32-bit)",
"unsigned short","unsigned short %s;",true,"C/C++ datatype for unsigned short integer values (mostly 16-bit)",
"unsigned long","unsigned long %s;",true,"C/C++ datatype for unsigned long integer values (mostly 64-bit)",
"unsigned long long","unsigned long long %s;",true,"C/C++ datatype for big unsigned integers (mostly 64/128-bit)",
"int8_t","int8_t %s;",true,"C/C++ datatype to hold an 8-bit signed integer",
"int16_t","int16_t %s;",true,"C/C++ datatype to hold a 16-bit signed integer",
"int32_t","int32_t %s;",true,"C/C++ datatype to hold a 32-bit signed integer",
"int64_t","int64_t %s;",true,"C/C++ datatype to hold a 64-bit signed integer",
"int128_t","int128_t %s;",true,"C/C++ datatype to hold a 128-bit signed integer",
"uint8_t","uint8_t %s;",true,"C/C++ datatype to hold an 8-bit unsigned integer",
"uint16_t","uint16_t %s;",true,"C/C++ datatype to hold a 16-bit unsigned integer",
"uint32_t","uint32_t %s;",true,"C/C++ datatype to hold a 32-bit unsigned integer",
"uint64_t","uint64_t %s;",true,"C/C++ datatype to hold a 64-bit unsigned integer",
"uint128_t","uint128_t %s;",true,"C/C++ datatype to hold a 128-bit unsigned integer",
"_nm","SI::length %s;",true,"Length given in nanometers (using SI lib for C++)",
"_mm","SI::length %s;",true,"Length given in millimeters (using SI lib for C++)",
"_cm","SI::length %s;",true,"Length given in centimeters (using SI lib for C++)",
"_m","SI::length %s;",true,"Length given in meters (using SI lib for C++)",
"_km","SI::length %s;",true,"Length given in kilometers (using SI lib for C++)",
"_au","SI::length %s;",true,"Length given in Astronomical Units (using SI lib for C++)",
"_pc","SI::length %s;",true,"Length given in Parsec (using SI lib for C++)",
"_Da","SI::mass %s;",true,"Mass given in Daltons (using SI lib for C++)",
"_mg","SI::mass %s;",true,"Mass given in milligrams (using SI lib for C++)",
"_g","SI::mass %s;",true,"Mass given in grams (using SI lib for C++)",
"_kg","SI::mass %s;",true,"Mass given in kilograms (using SI lib for C++)",
"_t","SI::mass %s;",true,"Mass given in metric tons (using SI lib for C++)",
"_ms","SI::time %s;",true,"Time given in milliseconds (using SI lib for C++)",
"_s","SI::time %s;",true,"Time given in seconds (using SI lib for C++)",
"_min","SI::time %s;",true,"Time given in minutes (using SI lib for C++)",
"_h","SI::time %s;",true,"Time given in hours (using SI lib for C++)",
"_days","SI::time %s;",true,"Time given in days (using SI lib for C++)",
"_K","SI::temperature %s;",true,"Temperature given in Kelvins (using SI lib for C++)",
"_degC","SI::temperature %s;",true,"Temperature given in °Celsius (using SI lib for C++)",
"_degF","SI::temperature %s;",true,"Temperature given in °Fahrenheit (using SI lib for C++)",
"_bar","SI::pressure %s;",true,"Pressure given in bar (using SI lib for C++)",
"_mbar","SI::pressure %s;",true,"Pressure given in millibars (using SI lib for C++)",
"_Hz","SI::frequency %s;",true,"Frequency given in Hz (using SI lib for C++)",
"_mHz","SI::frequency %s;",true,"Frequency given in millihertz (using SI lib for C++)",
"_kHz","SI::frequency %s;",true,"Frequency given in kilohertz (using SI lib for C++)",
"_MHz","SI::frequency %s;",true,"Frequency given in megahertz (using SI lib for C++)",
"_GHz","SI::frequency %s;",true,"Frequency given in gigahertz (using SI lib for C++)",
"_THz","SI::frequency %s;",true,"Frequency given in terahertz (using SI lib for C++)",
